"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Nkope Health Centre","Nkope Health Centre","Southern","Mangochi","TA Namkumba","MG2528","2","Non-EmONC","No","-14.2045117","35.033525"
"Phirilongwe Health Centre","Phirilongwe Health Centre","Southern","Mangochi","TA Ntonda","MG2529","2","BEmONC","No","-14.5881765","34.8982132"
"Sinyala Dispensary","Sinyala Dispensary","Southern","Mangochi","TA Bwananyambi","MG2538","1","Non-EmONC","No","-14.5835917","35.5775"
"Somba Health Centre","Somba Health Centre","Southern","Mangochi","TA Bwananyambi","MG2579","2","Non-EmONC","No","-14.6467959","35.5382543"
"Sr Martha Health Centre","Sr Martha Health Centre","Southern","Mangochi","TA Jalasi","MG2530","2","Non-EmONC","No","-14.3852359","35.5356207"
"St Martins Mission Hospital","St Martins Mission Hospital","Southern","Mangochi","STA Makumba","MG2516","3","CEmONC","No","-14.3474484","35.2936813"
"St Mary's Community Hospital","St Mary's Community Hospital","Southern","Mangochi","TA Chimwala","MG2593","3","CEmONC","No","-14.5424517","35.1821083"
"Amalika Dispensary","Amalika Dispensary","Southern","Thyolo","TA Bvumbwe","TH3126","1","Non-EmONC","No","-15.992237","35.0316716"
"Bvumbwe Health Centre","Bvumbwe Health Centre","Southern","Thyolo","TA Bvumbwe","TH3102","2","BEmONC","No","-15.9286083","35.0777583"
"Changata Health Centre","Changata Health Centre","Southern","Thyolo","TA Changata","TH3103","2","Non-EmONC","No","-16.2325695","35.1475641"
"Chilengo Dispensary","Chilengo Dispensary","Southern","Thyolo","TA Mphuka","TH310205","1","Non-EmONC","No","-16.1358928","35.015817"
"Chimaliro Health Centre","Chimaliro Health Centre","Southern","Thyolo","TA Chimaliro","TH3104","2","Non-EmONC","No","-15.9770331","35.1815883"
"Chimvu Health Centre","Chimvu Health Centre","Southern","Thyolo","TA Boidi","TH3105","2","BEmONC","No","-15.9418851","35.1228315"
"Chingazi Rural Hospital","Chingazi Rural Hospital","Southern","Thyolo","TA Chimaliro","TH3106","2","BEmONC","No","-15.9182201","35.2055775"
"Chinthebe Dispensary","Chinthebe Dispensary","Southern","Thyolo","TA Ngomano","TH3127","1","Non-EmONC","No","-16.0022334","35.0129849"
"Chipho Health Centre","Chipho Health Centre","Southern","Thyolo","TA Nsabwe","TH3124","2","BEmONC","No","-16.2618439","35.2961807"
"Chisoka Health Centre","Chisoka Health Centre","Southern","Thyolo","TA Chimaliro","TH3127","2","BEmONC","No","-15.9415069","35.2089267"
"Chisunga Dispensary","Chisunga Dispensary","Southern","Thyolo","TA Bvumbwe","TH3143","1","Non-EmONC","No","-16.0179728","35.0317893"
"Conforzi Clinic","Conforzi Clinic","Southern","Thyolo","TA Nchilamwera","TH3121","1","Non-EmONC","No","-16.0507581","35.1543531"
"Didi Health Centre","Didi Health Centre","Southern","Thyolo","TA Mphuka","TH3129","2","BEmONC","No","-16.0609381","34.9900243"
"Dzimbiri Health Post","Dzimbiri Health Post","Southern","Thyolo","TA Mphuka","TH3129","1","Non-EmONC","No","-16.1025296","34.9972256"
"Gombe Health Centre","Gombe Health Centre","Southern","Thyolo","TA Thukuta","TH3107","2","BEmONC","No","-16.3726994","35.2314243"
"Kasembeleka Dispensary","Kasembeleka Dispensary","Southern","Thyolo","TA Khwethemule","TH0160","1","Non-EmONC","No","-16.1192866","35.0983131"
"Khonjeni Health Centre","Khonjeni Health Centre","Southern","Thyolo","TA Kapichi","TH3109","2","BEmONC","No","-16.0968059","35.2715062"
"Khwethemule Health Post","Khwethemule Health Post","Southern","Thyolo","TA Khwethemule","TH0","1","Non-EmONC","No","-16.2061648","35.109801"
"Lomola Health Centre","Lomola Health Centre","Southern","Thyolo","TA Ndalama","TH311915","2","BEmONC","No","-16.0247101","35.2896818"
"Mafisi Dispensary","Mafisi Dispensary","Southern","Thyolo","TA Kapichi","TH3132","1","Non-EmONC","No","-16.0935144","35.2420058"
"Makapwa Health Centre","Makapwa Health Centre","Southern","Thyolo","TA Kapichi","TH3110","2","BEmONC","No","-16.1818213","35.2797395"
"Makungwa Health Centre","Makungwa Health Centre","Southern","Thyolo","TA Bvumbwe","TH3101","2","BEmONC","No","-15.939975","35.0266483"
"Makwasa Clinic","Makwasa Clinic","Southern","Thyolo","TA Khwethemule","TH3150","1","Non-EmONC","No","-16.194824","35.105629"
"Malamulo Mission Hospital","Malamulo Mission Hospital","Southern","Thyolo","TA Khwethemule","TH3111","3","CEmONC","Yes","-16.1707105","35.1105524"
"Mangunda Health Centre","Mangunda Health Centre","Southern","Thyolo","TA Nanseta","TH3112","2","Non-EmONC","No","-16.0288255","35.2615215"
"Mapanga Health Centre","Mapanga Health Centre","Southern","Thyolo","TA Mbawera","TH3125","2","BEmONC","No","-16.2759825","35.1967701"
"Mbalanguzi Dispensary","Mbalanguzi Dispensary","Southern","Thyolo","TA Mbawera","TH3113","1","Non-EmONC","No","-16.250923","35.1665436"
"Mianga Health Centre","Mianga Health Centre","Southern","Thyolo","STA Mlenga","TH3141","2","BEmONC","No","-16.0987945","35.0755852"
"Mianga Health Centre","Mianga Health Centre","Southern","Thyolo","STA Mlenga","THY3141","2","BEmONC","No","-16.0987206","35.0756823"
"Mikolongwe Health Centre","Mikolongwe Health Centre","Southern","Thyolo","TA Chimaliro","TH3114","2","Non-EmONC","No","-15.9014693","35.183701"
"Mitengo Health Centre","Mitengo Health Centre","Southern","Thyolo","TA Kapichi","TH3117","2","BEmONC","No","-16.111035","35.24543"
"Naming'omba Clinic","Naming'omba Clinic","Southern","Thyolo","TA Nchilamwera","TH3121","1","Non-EmONC","No","-16.0399815","35.0899047"
"Nchima Clinic","Nchima Clinic","Southern","Thyolo","TA Nchilamwera","TH3121","1","Non-EmONC","No","-16.1136273","35.1402863"
"Njale Health Centre","Njale Health Centre","Southern","Thyolo","STA Mlenga","TH312133","2","BEmONC","No","-16.099107","35.0679117"
"Nkhataombere Dispensary","Nkhataombere Dispensary","Southern","Thyolo","TA Nsabwe","TH3115","1","Non-EmONC","No","-16.324045","35.26382333333333"
"Nsabwe Dispensary","Nsabwe Dispensary","Southern","Thyolo","TA Nsabwe","TH3116","1","Non-EmONC","No","-16.3399701","35.2010961"
"Ntambanyama Health Centre","Ntambanyama Health Centre","Southern","Thyolo","TA Khwethemule","TH3108","2","Non-EmONC","No","-16.1267663","35.0844336"
"Sambankhanga Clinic","Sambankhanga Clinic","Southern","Thyolo","TA Khwethemule","TH3143","1","Non-EmONC","No","-16.1397664","35.0985808"
"Sandama Health Post","Sandama Health Post","Southern","Thyolo","TA Mbawera","TH311316","1","Non-EmONC","No","-16.2051041","35.295507"
"Satemwa Health Centre","Satemwa Health Centre","Southern","Thyolo","STA Mlenga","TH3144","2","BEmONC","No","-16.077119","35.0762864"
"St Martin Molere Health Centre","St Martin Molere Health Centre","Southern","Thyolo","TA Changata","TH3118","2","Non-EmONC","No","-16.2176005","35.1355992"
"Thekerani Rural Hospital","Thekerani Rural Hospital","Southern","Thyolo","TA Nsabwe","TH3119","2","BEmONC","No","-16.3214576","35.2072577"
"Thomas Health Centre","Thomas Health Centre","Southern","Thyolo","TA Mpenda","TH3120","2","BEmONC","No","-16.0298364","34.9789239"
"Thowera Health Centre","Thowera Health Centre","Southern","Thyolo","TA Ndalama","TH311916","2","Non-EmONC","No","-16.032032","35.3040387"
"Thukuta Health Post","Thukuta Health Post","Southern","Thyolo","TA Thukuta","TH3107","1","Non-EmONC","No","-16.3943417","35.2633433"
"Thunga Health Centre","Thunga Health Centre","Southern","Thyolo","TA Bvumbwe","TH3143","2","Non-EmONC","No","-16.0011284","35.0654653"
"Thyolo District Hospital","Thyolo District Hospital","Southern","Thyolo","TA Nchilamwera","TH3121","3","CEmONC","Yes","-16.0691026","35.1478457"
"Zoa Health Centre","Zoa Health Centre","Southern","Thyolo","TA Mbawera","TH3122","2","Non-EmONC","No","-16.2376102","35.1997302"
"Bimbi Health Centre","Bimbi Health Centre","Southern","Zomba","TA Kuntumanje","ZA2701","2","BEmONC","No","-15.3091643","35.4795231"
"Chamba Health Centre","Chamba Health Centre","Southern","Zomba","TA Mwambo","ZA2702","2","BEmONC","No","-15.4656117","35.5168533"
"Chanco Clinic","Chanco Clinic","Southern","Zomba","TA Chikowi","ZA2760","1","Non-EmONC","No","-15.3853783","35.3324783"
"Changalume Barracks Health Centre","Changalume Barracks Health Centre","Southern","Zomba","TA Namadidi","ZA2740","2","Non-EmONC","No","-15.3893149","35.2117242"
"Chilipa Health Centre","Chilipa Health Centre","Southern","Zomba","TA Nkapita","ZA2703","2","BEmONC","No","-15.3244602","35.1168639"
"Chingale Health Centre","Chingale Health Centre","Southern","Zomba","TA Namadidi","ZA2704","2","BEmONC","No","-15.3967362","35.1806802"
"Chipini Health Centre","Chipini Health Centre","Southern","Zomba","TA Namadidi","ZA2705","2","BEmONC","No","-15.3893273","35.0946353"
"Chisi Health Centre","Chisi Health Centre","Southern","Zomba","TA Mkumbira","ZA2737","2","BEmONC","No","-15.3256893","35.60509"
"Chuluchosema Health Centre","Chuluchosema Health Centre","Southern","Zomba","TA Chikowi","ZA2774","2","Non-EmONC","No","-15.4426191","35.3664597"
"City Health Centre","City Health Centre","Southern","Zomba","TA Chikowi","ZA2723","2","Non-EmONC","No","-15.3906436","35.3241701"
"Cobbe Barracks Health Centre","Cobbe Barracks Health Centre","Southern","Zomba","TA Mlumbe","ZA2729","2","Non-EmONC","No","-15.3905393","35.3054261"
"Domasi Rural Hospital","Domasi Rural Hospital","Southern","Zomba","TA Malemia","ZA2706","2","BEmONC","No","-15.2808798","35.3993784"
"H Parker Health Centre","H Parker Health Centre","Southern","Zomba","TA Malemia","ZA2707","2","BEmONC","No","-15.2990802","35.3608918"
"Khanda Health Centre","Khanda Health Centre","Southern","Zomba","TA Nkagula","ZA2777","2","BEmONC","No","-15.3579933","35.51205"
"Lambulira Health Centre","Lambulira Health Centre","Southern","Zomba","TA Chikowi","ZA2708","2","BEmONC","No","-15.4842909","35.3371998"
"Likangala Health Centre","Likangala Health Centre","Southern","Zomba","TA Lamusi","ZA2709","2","BEmONC","No","-15.4279884","35.5443733"
"Machinjiri Health Centre","Machinjiri Health Centre","Southern","Zomba","TA Malemia","ZA2733","2","BEmONC","No","-15.2371503","35.4183067"
"Maera Health Centre","Maera Health Centre","Southern","Zomba","TA Mlumbe","ZA2739","2","BEmONC","No","-15.5097816","35.1315986"
"Magomero Health Centre","Magomero Health Centre","Southern","Zomba","STA Ntholowa","ZA2710","2","BEmONC","No","-15.5615349","35.2610608"
"Makina Health Centre","Makina Health Centre","Southern","Zomba","TA Lamusi","ZA2775","2","Non-EmONC","No","-15.5165807","35.5987366"
"Makwapala Health Centre","Makwapala Health Centre","Southern","Zomba","TA Nkagula","ZA2711","2","BEmONC","No","-15.3694063","35.4506469"
"Masm Med Clinic","Masm Med Clinic","Southern","Zomba","TA Malemia","ZA2768","1","Non-EmONC","No","-15.3785123","35.3315052"
"Matawale Health Centre","Matawale Health Centre","Southern","Zomba","TA Mwambo","ZA2724","2","BEmONC","No","-15.3905983","35.3595917"
"Matiya Health Centre","Matiya Health Centre","Southern","Zomba","TA Lamusi","ZA2712","2","BEmONC","No","-15.530293","35.5506208"
"Mayaka Health Centre","Mayaka Health Centre","Southern","Zomba","STA Mwembere","ZA2713","2","BEmONC","No","-15.5736439","35.3724936"
"Mmambo Health Centre","Mmambo Health Centre","Southern","Zomba","TA Nkapita","ZA2731","2","BEmONC","No","-15.2626842","35.1596843"
"Mwandama Health Centre","Mwandama Health Centre","Southern","Zomba","TA Mlumbe","ZA2738","2","BEmONC","No","-15.4980884","35.1881162"
"Naisi Health Centre","Naisi Health Centre","Southern","Zomba","TA Malemia","ZA2732","2","BEmONC","No","-15.3577692","35.3850925"
"Namadidi Health Centre","Namadidi Health Centre","Southern","Zomba","TA Mlumbe","ZA2736","2","BEmONC","No","-15.4096351","35.2487997"
"Namasalima Health Centre","Namasalima Health Centre","Southern","Zomba","TA Kuntumanje","ZA2714","2","BEmONC","No","-15.2313769","35.4887842"
"Namikango Health Centre","Namikango Health Centre","Southern","Zomba","TA Mlumbe","ZA2715","2","BEmONC","No","-15.477289","35.2407195"
"Nasawa Health Centre","Nasawa Health Centre","Southern","Zomba","STA Ntholowa","ZA2725","2","BEmONC","No","-15.6023286","35.2594559"
"Ngwelero Health Centre","Ngwelero Health Centre","Southern","Zomba","TA Ngwelero","ZA2716","2","BEmONC","No","-15.6663483","35.42741"
"Nkasala Health Centre","Nkasala Health Centre","Southern","Zomba","TA Nkapita","ZA2717","2","BEmONC","No","-15.3277172","35.2166504"
"Pirimiti Community Hospital","Pirimiti Community Hospital","Southern","Zomba","TA Mwambo","ZA2718","3","CEmONC","Yes","-15.4826775","35.4508449"
"Police Community Hospital","Police Community Hospital","Southern","Zomba","TA Chikowi","ZA2728","2","CEmONC","No","-15.3911117","35.3268712"
"Sadzi Health Centre","Sadzi Health Centre","Southern","Zomba","TA Chikowi","ZA2734","2","Non-EmONC","No","-15.4086818","35.3194392"
"St Lukes Mission Hospital","St Lukes Mission Hospital","Southern","Zomba","TA Malemia","ZA2719","3","CEmONC","No","-15.2084853","35.3522885"
"St Robert Health Centre","St Robert Health Centre","Southern","Zomba","TA Mwambo","ZA2776","2","BEmONC","No","-15.4256042","35.4579931"
"Thondwe Dispensary","Thondwe Dispensary","Southern","Zomba","TA Mlumbe","ZA2721","1","Non-EmONC","No","-15.4848421","35.2369074"
"Zilindo Health Centre","Zilindo Health Centre","Southern","Zomba","TA Mlumbe","ZA2735","2","Non-EmONC","No","-15.3805298","35.3012999"
"Zomba Central Hospital","Zomba Central Hospital","Southern","Zomba","TA Chikowi","ZA2722","4","CEmONC","Yes","-15.3980617","35.3141817"
"Zomba Central Prison Clinic","Zomba Central Prison Clinic","Southern","Zomba","TA Mlumbe","ZA2730","1","Non-EmONC","No","-15.3963237","35.3121229"
