"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Kabuwa Health Centre","Kabuwa Health Centre","Northern","Mzimba South","TA Khosolo","MZ0530","2","BEmONC","No","-12.517","34.0740617"
"Kalikumbi Health Centre","Kalikumbi Health Centre","Northern","Mzimba South","TA M'mbelwa","MZ0512","2","BEmONC","No","-12.2041939","33.33381"
"Kamteteka Health Centre","Kamteteka Health Centre","Northern","Mzimba South","TA M'mbelwa","MZ0513","2","BEmONC","No","-11.8366414","33.3593627"
"Katete Community Hospital","Katete Community Hospital","Northern","Mzimba South","STA Levi Jere","MZ0514","2","BEmONC","No","-12.3458117","33.614365"
"Khosolo Health Centre","Khosolo Health Centre","Northern","Mzimba South","TA Khosolo","MZ0515","2","BEmONC","No","-12.4402818","33.7914238"
"Lunjika Health Centre","Lunjika Health Centre","Northern","Mzimba South","TA Kampingo Sibande","MZ0516","2","BEmONC","No","-11.7145967","33.685705"
"Luwawa Health Centre","Luwawa Health Centre","Northern","Mzimba South","TA Mzikubola","MZ0517","2","BEmONC","No","-12.1132183","33.71951"
"Luwerezi Health Centre","Luwerezi Health Centre","Northern","Mzimba South","TA Mabilabo","MZ0518","2","BEmONC","No","-12.48809","33.6476117"
"Mabiri Health Centre","Mabiri Health Centre","Northern","Mzimba South","TA Mzukuzuku","MZ0519","2","BEmONC","No","-12.2463617","33.43010991"
"Madede Health Centre","Madede Health Centre","Northern","Mzimba South","TA Chindi","MZ0520","2","BEmONC","No","-11.5390026","33.2946467"
"Manyamula Health Centre","Manyamula Health Centre","Northern","Mzimba South","TA M'mbelwa","MZ0521","2","BEmONC","No","-11.9401451","33.4394389"
"Mbalachanda Health Centre","Mbalachanda Health Centre","Northern","Mzimba South","TA Chindi","MZ0522","2","BEmONC","No","-11.3574565","33.371183"
"Mhalaunda Health Centre","Mhalaunda Health Centre","Northern","Mzimba South","TA M'mbelwa","MZ0523","2","BEmONC","No","-12.0510931","33.4670935"
"Mkoma Health Centre","Mkoma Health Centre","Northern","Mzimba South","TA Khosolo","MZ0524","2","BEmONC","No","-12.6123399","33.7825207"
"Msese Health Centre","Msese Health Centre","Northern","Mzimba South","TA Khosolo","MZ0525","2","BEmONC","No","-12.3593007","33.7400993"
"Mtende Health Centre","Mtende Health Centre","Northern","Mzimba South","TA Chindi","MZ0526","2","BEmONC","No","-11.4972069","33.5487678"
"Mzalangwe Health Centre","Mzalangwe Health Centre","Northern","Mzimba South","TA Chindi","MZ0527","2","BEmONC","No","-11.6121229","33.565096"
"Mzambazi Community Hospital","Mzambazi Community Hospital","Northern","Mzimba South","TA Chindi","MZ0528","2","BEmONC","No","-11.4276149","33.4501939"
"Mzimba District Hospital","Mzimba District Hospital","Northern","Mzimba South","TA M'mbelwa","MZ0501","3","CEmONC","Yes","-11.8990283","33.5836967"
"Raiply Dispensary","Raiply Dispensary","Northern","Mzimba South","TA Kampingo Sibande","MZ0531","1","Non-EmONC","No","-11.9163825","33.7559849"
"Vibangalala Dispensary","Vibangalala Dispensary","Northern","Mzimba South","TA Mzukuzuku","MZ0532","1","Non-EmONC","No","-12.234107","33.486444"
