"name","label","region","district","ta"
"KU070703","Livwezi Health Centre","Central","Kasungu","TA Wimbe"
"KU070709","Lodjwa Health Centre","Central","Kasungu","STA Chisikwa"
"KU070902","Mdunga Health Centre","Central","Kasungu","TA Mdunga"
"KU070950","Mkhota Health Centre","Central","Kasungu","TA Santhe"
"KU070976","Mnyanja Health Centre","Central","Kasungu","TA M'nyanja"
"KU070994","Newa/Mpasazi Health Centre","Central","Kasungu","STA Chisinga"
"KU071191","Nkhamenya Rural Hospital","Central","Kasungu","TA Kaluluma"
"KU071247","Ofesi Health Centre","Central","Kasungu","TA M'nyanja"
"KU071320","Santhe Health Centre","Central","Kasungu","TA Santhe"
"KU071332","Simlemba Health Centre","Central","Kasungu","TA Simlemba"
"KU071358","St. Andrews Health Centre","Central","Kasungu","TA Chinyama"
"KU071361","St. Faith Anglican Clinic","Central","Kasungu","TA Wimbe"
"KU071490","Wimbe Health Centre","Central","Kasungu","TA Wimbe"
"KU071728","St. Denis Health Centre","Central","Kasungu","TA Mangwazu"
"KU071807","Kakwale Health Centre","Central","Kasungu","TA Kaluluma"
"KU071844","Chambwe Health Centre","Central","Kasungu","STA Chambwe"
"KU071925","Kapichira Health Centre","Central","Kasungu","STA Kapichira"
"KU1011","Mtunthama Health Centre","Central","Kasungu","TA Chinyama"
"LL040007","ABC Community Hospital","Central","Lilongwe","TA Njewa"
"LL040033","Area 18 Health Centre","Central","Lilongwe","TA Chitukula"
"LL040037","Area 25 Health Centre","Central","Lilongwe","TA Chitukula"
"LL040122","Bwaila Hospital","Central","Lilongwe","TA Tsabango"
"LL040137","Chadza Health Centre","Central","Lilongwe","TA Chadza"
"LL040188","Chikowa Health Centre","Central","Lilongwe","TA Kabudula"
"LL040200","Child Legacy Community Hospital","Central","Lilongwe","TA Kalolo"
"LL040203","Chileka Health Centre","Central","Lilongwe","TA Kalolo"
"LL040209","Chilinde Community Hospital","Central","Lilongwe","TA Tsabango"
"LL040214","Chilobwe/Majiga Health Centre","Central","Lilongwe","TA Khongoni"
"LL040225","Chimbalanga Health Centre","Central","Lilongwe","TA Chitekwere"
"LL040282","Chitedze Health Centre","Central","Lilongwe","TA Njewa"
"LL040298","Chiunjiza Health Centre","Central","Lilongwe","TA Masula"
"LL040299","Chiwamba Health Centre","Central","Lilongwe","TA Chimutu"
"LL040301","Chiwe Health Centre","Central","Lilongwe","TA Kalolo"
"LL040303","Chiwoza Health Centre","Central","Lilongwe","TA Chiseka"
"LL040325","Daeyang Luke Hospital","Central","Lilongwe","TA Chitukula"
"LL040340","Dickson Health Centre","Central","Lilongwe","TA Masula"
"LL040368","Dzenza Health Centre","Central","Lilongwe","TA Chitukula"
"LL040479","Kabudula Rural Hospital","Central","Lilongwe","TA Kabudula"
"LL040529","Kamuzu Central Hospital","Central","Lilongwe","TA Tsabango"
"LL040536","Kang'oma Health Centre","Central","Lilongwe","TA Tsabango"
"LL040593","Katchale Health Centre","Central","Lilongwe","TA Chadza"
"LL040610","Kawale Health Centre","Central","Lilongwe","TA Tsabango"
"LL040629","Khongoni Health Centre","Central","Lilongwe","TA Khongoni"
"LL040655","Lemwe Health Centre","Central","Lilongwe","TA Kalolo"
"LL040671","Likuni Mission Hospital","Central","Lilongwe","TA Malili"
"LL040719","Lumbadzi Health Centre","Central","Lilongwe","TA Chitukula"
"LL040809","Malembo Health Centre","Central","Lilongwe","TA Kabudula"
"LL040814","Malingunde Health Centre","Central","Lilongwe","TA Malili"
"LL040822","Maluwa Health Centre","Central","Lilongwe","TA Chadza"
"LL040855","Matapila Health Centre","Central","Lilongwe","TA Mazengera"
"LL040872","Mbabvi Health Centre","Central","Lilongwe","TA Njewa"
"LL040877","Mbang'ombe 2 Health Centre","Central","Lilongwe","TA Kalolo"
"LL040878","Mbang'ombe 1 Health Centre","Central","Lilongwe","STA Mbang'ombe"
"LL040892","Mbwatalika Health Centre","Central","Lilongwe","TA M'bwatalika"
"LL040932","Ming'ong'o Health Centre","Central","Lilongwe","TA Kalolo"
"LL040945","Mitundu Community Hospital","Central","Lilongwe","TA Chiseka"
"LL040961","Mlale Community Hospital","Central","Lilongwe","TA Chiseka"
"LL040975","Mngwangwa Health Post","Central","Lilongwe","TA Kabudula"
"LL041016","Mseche Health Centre","Central","Lilongwe","TA Chimutu"
"LL041034","Mtenthela Health Centre","Central","Lilongwe","TA Mazengera"
"LL041124","Nambuma Health Centre","Central","Lilongwe","TA Kabudula"
"LL041146","Nathenje Health Centre","Central","Lilongwe","TA Chadza"
"LL041155","Ndaula Health Centre","Central","Lilongwe","TA Masumbankhunda"
"LL041179","Ngoni Health Centre","Central","Lilongwe","TA Mtema"
"LL041197","Nkhoma Mission Hospital","Central","Lilongwe","TA Mazengera"
"LL041213","Nsalu Health Centre","Central","Lilongwe","TA Kabudula"
"LL041232","Nthondo Health Centre","Central","Lilongwe","TA Kalolo"
"LL041243","Nyanja Health Post","Central","Lilongwe","TA Kalumbu"
"LL041362","St. Gabriel Mission Hospital","Central","Lilongwe","TA Kalolo"
"LL041451","Ukwe Health Centre","Central","Lilongwe","TA Kabudula"
"LL041532","Diamphwe Health Centre","Central","Lilongwe","TA Mazengera"
"LL041620","St. Chavala Health Centre","Central","Lilongwe","TA Chitukula"
"LL041748","Nguluwe Ntoo","Central","Lilongwe","TA Malili"
"LL041843","Biwi Health Centre","Central","Lilongwe","TA Tsabango"
"LL042136","Beni Health Centre","Central","Lilongwe","TA Masula"
"LL042137","Mwenda Health Centre","Central","Lilongwe","TA Chiseka"
"LL15100","St. Kizito Health Centre","Central","Lilongwe","TA Njewa"
"LL15115","Sauzawana Health Centre","Central","Lilongwe","TA Njewa"
"LL15116","Milamba Health Centre","Central","Lilongwe","TA Mazengera"
"LL15118","Chigodi Health Centre","Central","Lilongwe","TA Mazengera"
"LL15121","Chiponde Health Centre","Central","Lilongwe","TA Chimutu"
"LL15123","Chitsime Health Centre","Central","Lilongwe","TA Chiseka"
"LL4038","Blessings Hospital","Central","Lilongwe","TA Chitukula"
"LL4050","Bunda Health Centre","Central","Lilongwe","TA Chadza"
"MC010232","Chimwankango Dispensary","Central","Mchinji","STA Gumba"
"MC010251","Chioshya Health Centre","Central","Mchinji","TA Simphasi"
"MC010252","Mphanga Health Post","Central","Mchinji","TA Simphasi"
"MC010259","Chipumi Health Centre","Central","Mchinji","TA Kapondo"
"MC010407","Fanuel Dispensary","Central","Mchinji","STA Pitala"
"MC010441","Gumba Health Post","Central","Mchinji","STA Gumba"
"MC010494","Kaigwazanga Health Centre","Central","Mchinji","TA Mkanda"
"MC010551","Kapanga Health Centre","Central","Mchinji","TA Mavwere"
"MC010564","Kapiri Community Hospital","Central","Mchinji","TA Dambe"
"MC010637","Kochilira Rural Hospital","Central","Mchinji","TA Zulu"
"MC010711","St. Joseph Hospital","Central","Mchinji","TA Zulu"
"MC010898","Chiute Health Post","Central","Mchinji","TA Zulu"
"MC010899","Sitolo Health Post","Central","Mchinji","TA Mlonyeni"
"MC010925","Kazira Health Post","Central","Mchinji","TA Mduwa"
"MC010926","Lunthwe Health Post","Central","Mchinji","TA Mduwa"
"MC010947","Katutula Health Post","Central","Mchinji","TA Mkanda"
"MC011131","Namizana Clinic","Central","Mchinji","TA Mavwere"
"MC011206","Bua Health Post","Central","Mchinji","TA Mavwere"
"MC011376","St. Michael-Guillime","Central","Mchinji","TA Zulu"
