"name","label","region","district","ta"
"RU140292","Chitimba Health Centre","Northern","Rumphi","STA Chiwiriwiri"
"RU140470","Jalawe Health Centre","Northern","Rumphi","TA Njikula"
"RU140600","Katowo Rural Hospital","Northern","Rumphi","TA Katumbi"
"RU140702","David Gordon Memorial Mission Hospital","Northern","Rumphi","TA Mwalweni"
"RU140731","Lura Health Centre","Northern","Rumphi","TA Kachulu"
"RU140742","Luwuchi Health Centre","Northern","Rumphi","STA Chimphamba"
"RU140914","Mhuju Rural Hospital","Northern","Rumphi","TA Mwahenga"
"RU140972","Mlowe Health Centre","Northern","Rumphi","TA Mwamlowe"
"RU141087","Kamphenda Health Centre","Northern","Rumphi","TA Chikulamayembe"
"RU141097","Mzokoto Health Centre","Northern","Rumphi","TA Mwankhunikira"
"RU141165","Ng'onga Health Centre","Northern","Rumphi","TA Chisovya"
"RU141229","Nthenje Health Centre","Northern","Rumphi","TA Mwankhunikira"
"RU141302","Rumphi District Hospital","Northern","Rumphi","TA Chikulamayembe"
"RU141395","Tcharo Health Centre","Northern","Rumphi","TA Chapinduka"
"RU141514","Zunga Health Centre","Northern","Rumphi","TA Mwamlowe"
"RU141692","Kanyerere Health Centre","Northern","Rumphi","TA Chikulamayembe"
"BK171935","Khwisa Health Centre","Southern","Balaka","TA Matola"
"BK3601","Balaka District Hospital","Southern","Balaka","TA Nsamala"
"BK3603","Kalembo Health Centre","Southern","Balaka","TA Kalembo"
"BK3604","Kankao Health Centre","Southern","Balaka","TA Chanthunya"
"BK3605","Mbera Health Centre","Southern","Balaka","STA Mbera"
"BK3606","Phalula Health Centre","Southern","Balaka","TA Phalula"
"BK3607","Phimbi Health Centre","Southern","Balaka","TA Phimbi"
"BK3608","Ulongwe Health Centre","Southern","Balaka","TA Kalembo"
"BK3609","Utale 1 Health Centre","Southern","Balaka","TA Nkaya"
"BK3610","Utale 2 Health Centre","Southern","Balaka","TA Nkaya"
"BK3611","Namanolo Dispensary","Southern","Balaka","TA Amidu"
"BK3612","Chiyendausiku Health Centre","Southern","Balaka","TA Nsamala"
"BK3613","Kwitanda Health Centre","Southern","Balaka","TA Nsamala"
"BK3615","Comfort Community Hospital","Southern","Balaka","TA Nsamala"
"BK3616","Nandumbo Health Centre","Southern","Balaka","TA Kalembo"
"BK3617","Mwima Dispensary","Southern","Balaka","TA Amidu"
"BK3626","Chimatiro Health Centre","Southern","Balaka","STA Chimatiro"
"BK3627","Dziwe Dispensary","Southern","Balaka","TA Mpilisi"
"BT240041","Bangwe Community Hospital","Southern","Blantyre","TA Machinjiri"
"BT240136","Chabvala Health Centre","Southern","Blantyre","TA Kunthembwe"
"BT240204","Chileka SDA Mission Hospital","Southern","Blantyre","TA Kuntaja"
"BT240207","Chirimba Dispensary","Southern","Blantyre","TA Machinji"
"BT240216","Chilomoni Community Hospital","Southern","Blantyre","TA Machinjiri"
"BT240227","Chimembe Health Centre","Southern","Blantyre","TA Kuntaja"
"BT240490","Kadidi Health Centre","Southern","Blantyre","TA Kapeni"
"BT240698","Lirangwe Community Hospital","Southern","Blantyre","TA Lundu"
"BT240722","Mitsidi Health Centre","Southern","Blantyre","TA Kuntaja"
"BT240723","Lundu Health Centre","Southern","Blantyre","TA Lundu"
"BT24078","Makata Community Hospital","Southern","Blantyre","TA Makata"
"BT240790","Makhetha Dispensary","Southern","Blantyre","TA Kapeni"
"BT240799","Malabada Mission Hospital","Southern","Blantyre","TA Kapeni"
"BT240900","Mdeka Health Centre","Southern","Blantyre","TA Chigaru"
"BT241158","Ndirande Community Hospital","Southern","Blantyre","TA Kapeni"
"BT241260","Pensulo Health Centre","Southern","Blantyre","TA Kuntaja"
"BT241293","Queen Elizabeth Central Hospital","Southern","Blantyre","TA Kapeni"
"BT241336","Soche Maternity Health Centre","Southern","Blantyre","TA Somba"
"BT241504","Zingwangwa Community Hospital","Southern","Blantyre","TA Kapeni"
"BT241520","Ntonda Dispensary","Southern","Blantyre","TA Somba"
"BT241521","Kachere Dispensary","Southern","Blantyre","TA Machinjiri"
"BT241522","Khungulu Dispensary","Southern","Blantyre","TA Kuntaja"
"BT241884","Nancholi Community Hospital","Southern","Blantyre","TA Somba"
"BT241917","Chipande Health Centre","Southern","Blantyre","TA Machinjiiri"
"BT24202","Chileka Community Hospital","Southern","Blantyre","TA Kuntanja"
"BT242135","Manase Dispensary","Southern","Blantyre","TA Somba"
"BT2903","Chikowa Community Hospital","Southern","Blantyre","TA Kunthembwe"
"BT2907","Dziwe Health Centre","Southern","Blantyre","TA Kuntaja"
"BT2908","Limbe Community Hospital","Southern","Blantyre","TA Kapeni"
"BT2911","Madziabango Health Centre","Southern","Blantyre","TA Somba"
"BT2915","Mlambe Mission Hospital","Southern","Blantyre","TA Kapeni"
"BT2916","Mpemba Community Hospital","Southern","Blantyre","TA Somba"
"BT2917","Namikoko Health Centre","Southern","Blantyre","TA Lundu"
"BT2925","South Lunzu Community Hospital","Southern","Blantyre","TA Machinjiri"
"BT2945","Gateway Clinic","Southern","Blantyre","TA Kapeni"
"BT2963","Mbayani Dispensary","Southern","Blantyre","TA Machinjiri"
"BT2978","Lighthouse Health Centre","Southern","Blantyre","TA Chigaru"
"BT2979","St Vincent Mission Hospital","Southern","Blantyre","TA Somba"
"BT2996","Mpingo Health Centre","Southern","Blantyre","TA Somba"
"BT5077","Ameca Health Centre","Southern","Blantyre","TA Machinjiri"
"MG2501","Chikole Health Centre","Southern","Mangochi","TA Chowe"
"MG2502","Chilipa Health Centre","Southern","Mangochi","TA Chilipa"
"MG2503","Chiumbangame Health Centre","Southern","Mangochi","TA Jalasi"
"MG2504","Jalasi Health Centre","Southern","Mangochi","TA Jalasi"
"MG2505","Kapire Health Centre","Southern","Mangochi","TA Chilipa"
"MG2506","Katema Health Centre","Southern","Mangochi","TA Mponda"
"MG2507","Katuli Health Centre","Southern","Mangochi","TA Katuli"
"MG2508","Koche Community Hospital","Southern","Mangochi","STA Mambo"
"MG2509","Kukalanga Health Centre","Southern","Mangochi","TA Chimwala"
"MG2510","Lugola Health Centre","Southern","Mangochi","TA Chilawe"
"MG2511","Lulanga Health Centre","Southern","Mangochi","TA Lulanga"
"MG2512","Lungwena Health Centre","Southern","Mangochi","TA Namabvi"
"MG2513","Luwalika Health Centre","Southern","Mangochi","TA Katuli"
"MG2514","Makanjira Health Centre","Southern","Mangochi","TA Makanjira"
"MG2515","Malembo Health Centre","Southern","Mangochi","TA Namkumba"
"MG2516","St Martins Mission Hospital","Southern","Mangochi","STA Makumba"
"MG2517","Mangochi District Hospital","Southern","Mangochi","TA Mponda"
"MG2518","Mase Health Centre","Southern","Mangochi","TA Chowe"
"MG2519","Mkumba Health Centre","Southern","Mangochi","TA Bwananyambi"
"MG2520","Monkeybay Community Hospital","Southern","Mangochi","TA Namkumba"
"MG2521","Mpondasi Health Centre","Southern","Mangochi","TA Mponda"
"MG2522","Namalaka Health Centre","Southern","Mangochi","TA Namabvi"
"MG2523","Namwera Health Centre","Southern","Mangochi","TA Jalasi"
"MG2524","Nancholi Dispensary","Southern","Mangochi","TA Bwananyambi"
"MG2525","Nangalamu Health Centre","Southern","Mangochi","TA Bwananyambi"
"MG2526","Nankhwali Health Centre","Southern","Mangochi","STA Kapichi"
"MG2527","Namkumba Health Centre","Southern","Mangochi","TA Namkumba"
"MG2528","Nkope Health Centre","Southern","Mangochi","TA Namkumba"
"MG2529","Phirilongwe Health Centre","Southern","Mangochi","TA Ntonda"
"MG2530","Sr Martha Health Centre","Southern","Mangochi","TA Jalasi"
"MG2531","Mulibwanji Community Hospital","Southern","Mangochi","TA Bwananyambi"
"MG2532","Chiponde Health Centre","Southern","Mangochi","STA Chiponde"
"MG2533","Chiunda Health Centre","Southern","Mangochi","TA Chiunda"
"MG2534","Iba Health Centre","Southern","Mangochi","TA Jalasi"
"MG2535","Kadango Health Centre","Southern","Mangochi","TA Namabvi"
"MG2536","Malombe Health Centre","Southern","Mangochi","TA Chowe"
"MG2537","Mtimabi Health Centre","Southern","Mangochi","TA Chimwala"
"MG2538","Sinyala Dispensary","Southern","Mangochi","TA Bwananyambi"
"MG2539","Assalam Health Centre","Southern","Mangochi","TA Chimwala"
"MG2540","Ngapani Health Centre","Southern","Mangochi","TA Katuli"
"MG2541","Chilonga Health Centre","Southern","Mangochi","TA Namkumba"
"MG2542","Malukula Health Centre","Southern","Mangochi","TA Chowe"
"MG2543","Mkucingajwambone Health Centre","Southern","Mangochi","TA Chowe"
"MG2550","Maleta Dispensary","Southern","Mangochi","TA Katuli"
"MG2556","Mbalama Health Centre","Southern","Mangochi","TA Bwananyambi"
"MG2564","Mamakhadija Health Centre","Southern","Mangochi","TA Jalasi"
"MG2567","Billy Riordan Mission Hospital","Southern","Mangochi","TA Namkumba"
"MG2574","Njereza Dispensary","Southern","Mangochi","STA Mambo"
"MG2579","Somba Health Centre","Southern","Mangochi","TA Bwananyambi"
"MG2582","Maganga Dispensary","Southern","Mangochi","TA Hamisi Makanjira"
"MG2586","Mehboob Community Hospital","Southern","Mangochi","STA Mambo"
"MG2593","St Mary's Community Hospital","Southern","Mangochi","TA Chimwala"
"MG2594","Cape Maclear Dispensary","Southern","Mangochi","TA Namkumba"
"MG2595","Namalweso Health Centre","Southern","Mangochi","TA Chilawe"
"MG2599","Msaka Dispensary","Southern","Mangochi","STA Kapichi"
"TH0","Khwethemule Health Post","Southern","Thyolo","TA Khwethemule"
"TH0160","Kasembeleka Dispensary","Southern","Thyolo","TA Khwethemule"
"TH3101","Makungwa Health Centre","Southern","Thyolo","TA Bvumbwe"
"TH3102","Bvumbwe Health Centre","Southern","Thyolo","TA Bvumbwe"
"TH310205","Chilengo Dispensary","Southern","Thyolo","TA Mphuka"
"TH3103","Changata Health Centre","Southern","Thyolo","TA Changata"
"TH3104","Chimaliro Health Centre","Southern","Thyolo","TA Chimaliro"
"TH3105","Chimvu Health Centre","Southern","Thyolo","TA Boidi"
"TH3106","Chingazi Rural Hospital","Southern","Thyolo","TA Chimaliro"
"TH3107","Gombe Health Centre","Southern","Thyolo","TA Thukuta"
"TH3108","Ntambanyama Health Centre","Southern","Thyolo","TA Khwethemule"
"TH3109","Khonjeni Health Centre","Southern","Thyolo","TA Kapichi"
"TH3110","Makapwa Health Centre","Southern","Thyolo","TA Kapichi"
"TH3111","Malamulo Mission Hospital","Southern","Thyolo","TA Khwethemule"
"TH3112","Mangunda Health Centre","Southern","Thyolo","TA Nanseta"
"TH3113","Mbalanguzi Dispensary","Southern","Thyolo","TA Mbawera"
"TH311316","Sandama Health Post","Southern","Thyolo","TA Mbawera"
"TH3114","Mikolongwe Health Centre","Southern","Thyolo","TA Chimaliro"
"TH3115","Nkhataombere Dispensary","Southern","Thyolo","TA Nsabwe"
"TH3116","Nsabwe Dispensary","Southern","Thyolo","TA Nsabwe"
"TH3117","Mitengo Health Centre","Southern","Thyolo","TA Kapichi"
"TH3118","St Martin Molere Health Centre","Southern","Thyolo","TA Changata"
"TH3119","Thekerani Rural Hospital","Southern","Thyolo","TA Nsabwe"
"TH311915","Lomola Health Centre","Southern","Thyolo","TA Ndalama"
"TH311916","Thowera Health Centre","Southern","Thyolo","TA Ndalama"
"TH3120","Thomas Health Centre","Southern","Thyolo","TA Mpenda"
"TH3121","Conforzi Clinic","Southern","Thyolo","TA Nchilamwera"
"TH312133","Njale Health Centre","Southern","Thyolo","STA Mlenga"
"TH3122","Zoa Health Centre","Southern","Thyolo","TA Mbawera"
"TH3124","Chipho Health Centre","Southern","Thyolo","TA Nsabwe"
"TH3125","Mapanga Health Centre","Southern","Thyolo","TA Mbawera"
"TH3126","Amalika Dispensary","Southern","Thyolo","TA Bvumbwe"
"TH3127","Chinthebe Dispensary","Southern","Thyolo","TA Ngomano"
"TH3129","Didi Health Centre","Southern","Thyolo","TA Mphuka"
"TH3132","Mafisi Dispensary","Southern","Thyolo","TA Kapichi"
"TH3141","Mianga Health Centre","Southern","Thyolo","STA Mlenga"
"TH3143","Chisunga Dispensary","Southern","Thyolo","TA Bvumbwe"
"TH3144","Satemwa Health Centre","Southern","Thyolo","STA Mlenga"
"TH3150","Makwasa Clinic","Southern","Thyolo","TA Khwethemule"
"THY3141","Mianga Health Centre","Southern","Thyolo","STA Mlenga"
"ZA2701","Bimbi Health Centre","Southern","Zomba","TA Kuntumanje"
"ZA2702","Chamba Health Centre","Southern","Zomba","TA Mwambo"
"ZA2703","Chilipa Health Centre","Southern","Zomba","TA Nkapita"
"ZA2704","Chingale Health Centre","Southern","Zomba","TA Namadidi"
"ZA2705","Chipini Health Centre","Southern","Zomba","TA Namadidi"
"ZA2706","Domasi Rural Hospital","Southern","Zomba","TA Malemia"
"ZA2707","H Parker Health Centre","Southern","Zomba","TA Malemia"
"ZA2708","Lambulira Health Centre","Southern","Zomba","TA Chikowi"
"ZA2709","Likangala Health Centre","Southern","Zomba","TA Lamusi"
"ZA2710","Magomero Health Centre","Southern","Zomba","STA Ntholowa"
"ZA2711","Makwapala Health Centre","Southern","Zomba","TA Nkagula"
"ZA2712","Matiya Health Centre","Southern","Zomba","TA Lamusi"
"ZA2713","Mayaka Health Centre","Southern","Zomba","STA Mwembere"
"ZA2714","Namasalima Health Centre","Southern","Zomba","TA Kuntumanje"
"ZA2715","Namikango Health Centre","Southern","Zomba","TA Mlumbe"
"ZA2716","Ngwelero Health Centre","Southern","Zomba","TA Ngwelero"
"ZA2717","Nkasala Health Centre","Southern","Zomba","TA Nkapita"
"ZA2718","Pirimiti Community Hospital","Southern","Zomba","TA Mwambo"
"ZA2719","St Lukes Mission Hospital","Southern","Zomba","TA Malemia"
"ZA2721","Thondwe Dispensary","Southern","Zomba","TA Mlumbe"
"ZA2722","Zomba Central Hospital","Southern","Zomba","TA Chikowi"
"ZA2723","City Health Centre","Southern","Zomba","TA Chikowi"
"ZA2724","Matawale Health Centre","Southern","Zomba","TA Mwambo"
"ZA2725","Nasawa Health Centre","Southern","Zomba","STA Ntholowa"
"ZA2728","Police Community Hospital","Southern","Zomba","TA Chikowi"
"ZA2729","Cobbe Barracks Health Centre","Southern","Zomba","TA Mlumbe"
"ZA2730","Zomba Central Prison Clinic","Southern","Zomba","TA Mlumbe"
"ZA2731","Mmambo Health Centre","Southern","Zomba","TA Nkapita"
"ZA2732","Naisi Health Centre","Southern","Zomba","TA Malemia"
"ZA2733","Machinjiri Health Centre","Southern","Zomba","TA Malemia"
"ZA2734","Sadzi Health Centre","Southern","Zomba","TA Chikowi"
"ZA2735","Zilindo Health Centre","Southern","Zomba","TA Mlumbe"
"ZA2736","Namadidi Health Centre","Southern","Zomba","TA Mlumbe"
"ZA2737","Chisi Health Centre","Southern","Zomba","TA Mkumbira"
"ZA2738","Mwandama Health Centre","Southern","Zomba","TA Mlumbe"
"ZA2739","Maera Health Centre","Southern","Zomba","TA Mlumbe"
"ZA2740","Changalume Barracks Health Centre","Southern","Zomba","TA Namadidi"
"ZA2760","Chanco Clinic","Southern","Zomba","TA Chikowi"
"ZA2768","Masm Med Clinic","Southern","Zomba","TA Malemia"
"ZA2774","Chuluchosema Health Centre","Southern","Zomba","TA Chikowi"
"ZA2775","Makina Health Centre","Southern","Zomba","TA Lamusi"
"ZA2776","St Robert Health Centre","Southern","Zomba","TA Mwambo"
"ZA2777","Khanda Health Centre","Southern","Zomba","TA Nkagula"
