"name","label","region","district"
"TA Mbawera","TA Mbawera","Southern","Thyolo"
"TA Mpenda","TA Mpenda","Southern","Thyolo"
"TA Mphuka","TA Mphuka","Southern","Thyolo"
"TA Nanseta","TA Nanseta","Southern","Thyolo"
"TA Nchilamwera","TA Nchilamwera","Southern","Thyolo"
"TA Ndalama","TA Ndalama","Southern","Thyolo"
"TA Ngolongoliwa","TA Ngolongoliwa","Southern","Thyolo"
"TA Ngomano","TA Ngomano","Southern","Thyolo"
"TA Nsabwe","TA Nsabwe","Southern","Thyolo"
"TA Thomas","TA Thomas","Southern","Thyolo"
"TA Thukuta","TA Thukuta","Southern","Thyolo"
"STA Chimbalanga","STA Chimbalanga","Southern","Zomba"
"STA Kamwendo","STA Kamwendo","Southern","Zomba"
"STA Mwembere","STA Mwembere","Southern","Zomba"
"STA Ntholowa","STA Ntholowa","Southern","Zomba"
"TA Chikowi","TA Chikowi","Southern","Zomba"
"TA Idana","TA Idana","Southern","Zomba"
"TA Kuntumanje","TA Kuntumanje","Southern","Zomba"
"TA Lamusi","TA Lamusi","Southern","Zomba"
"TA M'biza","TA M'biza","Southern","Zomba"
"TA Malemia","TA Malemia","Southern","Zomba"
"TA Mkumbira","TA Mkumbira","Southern","Zomba"
"TA Mlumbe","TA Mlumbe","Southern","Zomba"
"TA Mwambo","TA Mwambo","Southern","Zomba"
"TA Namadidi","TA Namadidi","Southern","Zomba"
"TA Ngwelero","TA Ngwelero","Southern","Zomba"
"TA Nkagula","TA Nkagula","Southern","Zomba"
"TA Nkapita","TA Nkapita","Southern","Zomba"
