"TA Name","District","Region","Country","Latitude","Longitude"
"TA Mkata","Mangochi","Southern","Malawi","-14.3409662","35.4189766"
"TA Mponda","Mangochi","Southern","Malawi","-14.4531538","35.2462321"
"TA Namabvi","Mangochi","Southern","Malawi","-14.1193246","35.1913686"
"TA Namkumba","Mangochi","Southern","Malawi","-14.3668663","34.8154065"
"TA Ntonda","Mangochi","Southern","Malawi","-14.6523797","34.952943"
"STA Mlenga","Thyolo","Southern","Malawi","-16.0933981","35.0466901"
"STA Nguluwe","Thyolo","Southern","Malawi","-15.90776","35.1372833"
"TA Boidi","Thyolo","Southern","Malawi","-15.84058","35.092318"
"TA Bvumbwe","Thyolo","Southern","Malawi","-15.94072211","35.02479707"
"TA Changata","Thyolo","Southern","Malawi","-16.2318395","35.1478053"
"TA Chimaliro","Thyolo","Southern","Malawi","-15.9759316","35.1819197"
"TA January","Thyolo","Southern","Malawi","-15.9751952","35.1877814"
"TA Kapichi","Thyolo","Southern","Malawi","-16.0974768","35.2718036"
"TA Khwethemule","Thyolo","Southern","Malawi","-16.205605","35.1093221"
"TA Maganiza","Thyolo","Southern","Malawi","-16.09927","35.2572804"
"TA Maggie","Thyolo","Southern","Malawi","-15.9295852","35.1061186"
"TA Mbawera","Thyolo","Southern","Malawi","-16.27575","35.1977925"
"TA Mpenda","Thyolo","Southern","Malawi","-16.0328873","34.9829654"
"TA Mphuka","Thyolo","Southern","Malawi","-16.1023541","34.9970315"
"TA Ndalama","Thyolo","Southern","Malawi","-16.0341899","35.2831252"
"TA Ngolongoliwa","Thyolo","Southern","Malawi","-16.0132215","35.1864152"
"TA Ngomano","Thyolo","Southern","Malawi","-16.0013741","35.0026953"
"TA Nsabwe","Thyolo","Southern","Malawi","-16.3402068","35.2012921"
"TA Thomas","Thyolo","Southern","Malawi","-16.0284012","34.9754415"
"TA Thukuta","Thyolo","Southern","Malawi","-16.3949152","35.2628494"
"STA Chimbalanga","Zomba","Southern","Malawi","-15.48553","35.39923"
"STA Mwembere","Zomba","Southern","Malawi","-15.5539334","35.387162"
"STA Ntholowa","Zomba","Southern","Malawi","-15.6110484","35.247096"
"TA Chikowi","Zomba","Southern","Malawi","-15.4633062","35.2942814"
"TA Kuntumanje","Zomba","Southern","Malawi","-15.299497","35.4554912"
"TA Lamusi","Zomba","Southern","Malawi","-15.4297038","35.5391436"
"TA M'biza","Zomba","Southern","Malawi","-15.6514905","35.3328976"
"TA Malemia","Zomba","Southern","Malawi","-15.2756559","35.4003731"
"TA Mkumbira","Zomba","Southern","Malawi","-15.3256035","35.6063597"
"TA Mlumbe","Zomba","Southern","Malawi","-15.3865384","35.2696088"
"TA Mwambo","Zomba","Southern","Malawi","-15.4346799","35.5142656"
"TA Namadidi","Zomba","Southern","Malawi","-15.3926495","35.182109"
"TA Nkagula","Zomba","Southern","Malawi","-15.3538578","35.4276418"
"TA Nkapita","Zomba","Southern","Malawi","-15.32739","35.2161134"
